fixture_id,date_jst,home_team,away_team,commentator,announcer,report_link
1451128,2026-01-20,Kairat Almaty,Club Brugge KV,,,/reports/2026-01-20_KairatAlmaty_vs_ClubBruggeKV_20260121_002742.html
1451129,2026-01-20,Bodo/Glimt,Manchester City,,,/reports/2026-01-20_BodoGlimt_vs_ManchesterCity_20260121_072349.html
1451135,2026-01-20,Tottenham,Borussia Dortmund,,,/reports/2026-01-20_Tottenham_vs_BorussiaDortmund_20260121_062648.html
1451136,2026-01-20,Inter,Arsenal,,,/reports/2026-01-20_Inter_vs_Arsenal_20260121_062648.html
1451130,2026-01-20,Real Madrid,Monaco,,,/reports/2026-01-20_RealMadrid_vs_Monaco_20260121_062648.html
1451131,2026-01-20,Sporting CP,Paris Saint Germain,,,/reports/2026-01-20_SportingCP_vs_ParisSaintGermain_20260121_062648.html
1451132,2026-01-20,FC Copenhagen,Napoli,,,/reports/2026-01-20_FCCopenhagen_vs_Napoli_20260121_062648.html
1451133,2026-01-20,Villarreal,Ajax,,,/reports/2026-01-20_Villarreal_vs_Ajax_20260121_072349.html
1451134,2026-01-20,Olympiakos Piraeus,Bayer Leverkusen,,,/reports/2026-01-20_OlympiakosPiraeus_vs_BayerLeverkusen_20260121_072349.html
1451137,2026-01-21,Galatasaray,Atletico Madrid,,,/reports/2026-01-21_Galatasaray_vs_AtleticoMadrid_20260122_033952.html
1451138,2026-01-21,Qarabag,Eintracht Frankfurt,,,/reports/2026-01-21_Qarabag_vs_EintrachtFrankfurt_20260122_033952.html
1451142,2026-01-21,Chelsea,Pafos,,,/reports/2026-01-21_Chelsea_vs_Pafos_20260122_063714.html
1451145,2026-01-21,Marseille,Liverpool,,,/reports/2026-01-21_Marseille_vs_Liverpool_20260122_063714.html
1451139,2026-01-21,Slavia Praha,Barcelona,,,/reports/2026-01-21_SlaviaPraha_vs_Barcelona_20260122_063714.html
1451143,2026-01-21,Newcastle,PSV Eindhoven,,,/reports/2026-01-21_Newcastle_vs_PSVEindhoven_20260122_063714.html
1451144,2026-01-21,Bayern München,Union St. Gilloise,,,/reports/2026-01-21_BayernMnchen_vs_UnionStGilloise_20260122_063714.html
1451141,2026-01-21,Juventus,Benfica,,,/reports/2026-01-21_Juventus_vs_Benfica_20260122_102136.html
1451140,2026-01-21,Atalanta,Athletic Club,,,/reports/2026-01-21_Atalanta_vs_AthleticClub_20260122_213808.html
1451153,2026-01-28,Manchester City,Galatasaray,,,/reports/2026-01-28_ManchesterCity_vs_Galatasaray_20260129_134835.html
1451160,2026-01-28,Liverpool,Qarabag,,,/reports/2026-01-28_Liverpool_vs_Qarabag_20260129_140348.html
1451159,2026-01-28,Arsenal,Kairat Almaty,,,/reports/2026-01-28_Arsenal_vs_KairatAlmaty_20260129_140348.html
1451150,2026-01-28,Eintracht Frankfurt,Tottenham,,,/reports/2026-01-28_EintrachtFrankfurt_vs_Tottenham_20260129_140348.html
1451162,2026-01-28,Benfica,Real Madrid,,,/reports/2026-01-28_Benfica_vs_RealMadrid_20260129_140348.html
1451146,2026-01-28,Napoli,Chelsea,,,/reports/2026-01-28_Napoli_vs_Chelsea_20260129_140348.html
1451161,2026-01-28,Barcelona,FC Copenhagen,,,/reports/2026-01-28_Barcelona_vs_FCCopenhagen_20260129_155016.html
1451152,2026-01-28,Atletico Madrid,Bodo/Glimt,,,/reports/2026-01-28_AtleticoMadrid_vs_BodoGlimt_20260129_155016.html
1451149,2026-01-28,Paris Saint Germain,Newcastle,,,/reports/2026-01-28_ParisSaintGermain_vs_Newcastle_20260129_155016.html
1451148,2026-01-28,Monaco,Juventus,,,/reports/2026-01-28_Monaco_vs_Juventus_20260129_155016.html
1451147,2026-01-28,Borussia Dortmund,Inter,,,/reports/2026-01-28_BorussiaDortmund_vs_Inter_20260129_155016.html
1451155,2026-01-28,Bayer Leverkusen,Villarreal,,,/reports/2026-01-28_BayerLeverkusen_vs_Villarreal_20260129_184551.html
1451157,2026-01-28,Ajax,Olympiakos Piraeus,,,/reports/2026-01-28_Ajax_vs_OlympiakosPiraeus_20260129_184551.html
1451154,2026-01-28,PSV Eindhoven,Bayern München,,,/reports/2026-01-28_PSVEindhoven_vs_BayernMnchen_20260129_184551.html
1451156,2026-01-28,Athletic Club,Sporting CP,,,/reports/2026-01-28_AthleticClub_vs_SportingCP_20260129_184551.html
1451163,2026-01-28,Club Brugge KV,Marseille,,,/reports/2026-01-28_ClubBruggeKV_vs_Marseille_20260129_184551.html
1451158,2026-01-28,Union St. Gilloise,Atalanta,,,/reports/2026-01-28_UnionStGilloise_vs_Atalanta_20260129_214759.html
1451151,2026-01-28,Pafos,Slavia Praha,,,/reports/2026-01-28_Pafos_vs_SlaviaPraha_20260129_214759.html
