fixture_id,date_jst,home_team,away_team,commentator,announcer,report_link
1490980,2026-01-06,Granada CF,Rayo Vallecano,,,/reports/2026-01-06_GranadaCF_vs_RayoVallecano_20260107_032616.html
1503644,2026-01-13,Deportivo La Coruna,Atletico Madrid,,,/reports/2026-01-13_DeportivoLaCoruna_vs_AtleticoMadrid_20260114_062442.html
1503646,2026-01-13,Real Sociedad,Osasuna,,,/reports/2026-01-13_RealSociedad_vs_Osasuna_20260114_062442.html
1503643,2026-01-13,Cultural Leonesa,Athletic Club,,,/reports/2026-01-13_CulturalLeonesa_vs_AthleticClub_20260114_062442.html
1503640,2026-01-14,Albacete,Real Madrid,,,/reports/2026-01-14_Albacete_vs_RealMadrid_20260115_222121.html
1503639,2026-01-14,Alaves,Rayo Vallecano,,,/reports/2026-01-14_Alaves_vs_RayoVallecano_20260115_062600.html
1503641,2026-01-14,Real Betis,Elche,,,/reports/2026-01-14_RealBetis_vs_Elche_20260115_062600.html
1503645,2026-01-15,Racing Santander,Barcelona,,,/reports/2026-01-15_RacingSantander_vs_Barcelona_20260117_170346.html
1509770,2026-02-03,Albacete,Barcelona,,,/reports/2026-02-03_Albacete_vs_Barcelona_20260204_063359.html
1509771,2026-02-04,Alaves,Real Sociedad,,,/reports/2026-02-04_Alaves_vs_RealSociedad_20260205_063450.html
1509772,2026-02-04,Valencia,Athletic Club,,,/reports/2026-02-04_Valencia_vs_AthleticClub_20260205_063450.html
1509773,2026-02-05,Real Betis,Atletico Madrid,,,/reports/2026-02-05_RealBetis_vs_AtleticoMadrid_20260208_145107.html
1520390,,Athletic Club,Real Sociedad,,,/reports/2026-02-11_AthleticClub_vs_RealSociedad_20260212_063504.html
1520391,,Atletico Madrid,Barcelona,,,/reports/2026-02-12_AtleticoMadrid_vs_Barcelona_20260213_063425.html
