fixture_id,date_jst,home_team,away_team,commentator,announcer,report_link
1490812,2026-01-09,Preston,Wigan,,,/reports/2026-01-09_Preston_vs_Wigan_20260110_062509.html
1490807,2026-01-09,Milton Keynes Dons,Oxford United,,,/reports/2026-01-09_MiltonKeynesDons_vs_OxfordUnited_20260110_062509.html
1490811,2026-01-09,Port Vale,Fleetwood Town,,,/reports/2026-01-09_PortVale_vs_FleetwoodTown_20260110_062509.html
1490821,2026-01-09,Wrexham,Nottingham Forest,,,/reports/2026-01-09_Wrexham_vs_NottinghamForest_20260110_062509.html
1490794,2026-01-10,Charlton,Chelsea,,,/reports/2026-01-10_Charlton_vs_Chelsea_20260111_095628.html
1490820,2026-01-10,Wolves,Shrewsbury,,,/reports/2026-01-10_Wolves_vs_Shrewsbury_20260111_095628.html
1490798,2026-01-10,Everton,Sunderland,,,/reports/2026-01-10_Everton_vs_Sunderland_20260111_095628.html
1490795,2026-01-10,Cheltenham,Leicester,,,/reports/2026-01-10_Cheltenham_vs_Leicester_20260111_095628.html
1490805,2026-01-10,Manchester City,Exeter City,,,/reports/2026-01-10_ManchesterCity_vs_ExeterCity_20260117_184450.html
1490818,2026-01-10,Tottenham,Aston Villa,,,/reports/2026-01-10_Tottenham_vs_AstonVilla_20260111_101555.html
1490804,2026-01-10,Macclesfield,Crystal Palace,,,/reports/2026-01-10_Macclesfield_vs_CrystalPalace_20260111_103112.html
1490808,2026-01-10,Newcastle,Bournemouth,,,/reports/2026-01-10_Newcastle_vs_Bournemouth_20260111_103112.html
1490799,2026-01-10,Fulham,Middlesbrough,,,/reports/2026-01-10_Fulham_vs_Middlesbrough_20260111_103112.html
1490792,2026-01-10,Burnley,Millwall,,,/reports/2026-01-10_Burnley_vs_Millwall_20260111_103112.html
1490802,2026-01-10,Ipswich,Blackpool,,,/reports/2026-01-10_Ipswich_vs_Blackpool_20260111_103112.html
1490815,2026-01-10,Sheffield Wednesday,Brentford,,,/reports/2026-01-10_SheffieldWednesday_vs_Brentford_20260111_131535.html
1490816,2026-01-10,Stoke City,Coventry,,,/reports/2026-01-10_StokeCity_vs_Coventry_20260111_131535.html
1490797,2026-01-10,Doncaster,Southampton,,,/reports/2026-01-10_Doncaster_vs_Southampton_20260111_131535.html
1490790,2026-01-10,Boreham Wood,Burton Albion,,,/reports/2026-01-10_BorehamWood_vs_BurtonAlbion_20260111_131535.html
1490813,2026-01-20,Salford City,Swindon Town,,,/reports/2026-01-20_SalfordCity_vs_SwindonTown_20260121_102029.html
1490791,2026-01-10,Bristol City,Watford,,,/reports/2026-01-10_BristolCity_vs_Watford_20260111_153120.html
1490800,2026-01-10,Grimsby,Weston-super-Mare,,,/reports/2026-01-10_Grimsby_vs_Weston-super-Mare_20260111_153120.html
1490793,2026-01-10,Cambridge United,Birmingham,,,/reports/2026-01-10_CambridgeUnited_vs_Birmingham_20260111_153120.html
