week_key,league,rank,team_id,team_name,team_logo,points,played,won,draw,lost,goals_for,goals_against,goals_diff,form,description
2026-02-16,EPL,1,42,Arsenal,https://media.api-sports.io/football/teams/42.png,61,28,18,7,3,56,21,35,WDDWW,Promotion - Champions League (League phase)
2026-02-16,EPL,2,50,Manchester City,https://media.api-sports.io/football/teams/50.png,56,27,17,5,5,56,25,31,WWWDW,Promotion - Champions League (League phase)
2026-02-16,EPL,3,66,Aston Villa,https://media.api-sports.io/football/teams/66.png,51,27,15,6,6,38,28,10,DWDLW,Promotion - Champions League (League phase)
2026-02-16,EPL,4,49,Chelsea,https://media.api-sports.io/football/teams/49.png,45,27,12,9,6,48,31,17,DDWWW,Promotion - Champions League (League phase)
2026-02-16,EPL,5,33,Manchester United,https://media.api-sports.io/football/teams/33.png,45,26,12,9,5,47,37,10,DWWWW,Promotion - Europa League (League phase)
2026-02-16,EPL,6,40,Liverpool,https://media.api-sports.io/football/teams/40.png,45,27,13,6,8,42,35,7,WWLWL,
2026-02-16,EPL,7,55,Brentford,https://media.api-sports.io/football/teams/55.png,40,27,12,4,11,40,37,3,LDWWL,
2026-02-16,EPL,8,35,Bournemouth,https://media.api-sports.io/football/teams/35.png,38,27,9,11,7,43,45,-2,DWDWW,
2026-02-16,EPL,9,45,Everton,https://media.api-sports.io/football/teams/45.png,37,26,10,7,9,29,30,-1,LWDDW,
2026-02-16,EPL,10,36,Fulham,https://media.api-sports.io/football/teams/36.png,37,27,11,4,12,38,41,-3,WLLLW,
2026-02-16,EPL,11,34,Newcastle,https://media.api-sports.io/football/teams/34.png,36,27,10,6,11,38,39,-1,LWLLL,
2026-02-16,EPL,12,746,Sunderland,https://media.api-sports.io/football/teams/746.png,36,27,9,9,9,28,33,-5,LLLWL,
2026-02-16,EPL,13,52,Crystal Palace,https://media.api-sports.io/football/teams/52.png,35,27,9,8,10,29,32,-3,WLWDL,
2026-02-16,EPL,14,51,Brighton,https://media.api-sports.io/football/teams/51.png,34,27,8,10,9,36,34,2,WLLDL,
2026-02-16,EPL,15,63,Leeds,https://media.api-sports.io/football/teams/63.png,31,27,7,10,10,37,46,-9,DDWLD,
